ID	Time
150853111	16:00
150065021	19:33
150454587	00:30
150854012	08:30
150065247	17:30
150065253	20:39
150065576	13:30
150065764	00:40
150065770	00:45
150065786	23:52
150065786	23:52
150065968	07:12
150066223	18:00
150066239	09:15
150466598	20:05
150863518	12:30
150867388	17:30
150066502	08:00
150066518	09:55
150066524	14:00
150869497	11:00
150066922	12:15
150066938	11:00
150066966	20:00
150066966	20:00
150067061	10:00
150067196	07:40
150067196	07:40
150067209	21:00
150067215	11:25
150475323	14:20
150872008	00:01
150872199	01:00
150067594	14:20
150067839	16:23
150067845	15:19
150068081	17:21
150068081	17:21
150068235	18:47
150068235	18:47
150068310	19:32
150068326	19:28
150068558	18:00
150068564	18:30
150068570	21:09
150068586	09:00
150068592	15:00
150068655	21:48
150068780	22:46
150068809	23:07
150069039	01:09
150069045	01:18
150128629	12:10
150128635	14:30
150128657	12:35
150128663	08:26
150884467	21:00
150128839	20:00
150128845	12:20
150128851	17:15
150128851	17:15
150890947	14:55
150893775	22:00
150128970	13:00
150895000	16:30
150129285	07:26
150129291	00:30
150129489	14:00
150129495	13:29
150129495	13:29
150129495	13:29
150899165	09:53
150904532	01:24
150129859	18:18
150129859	18:18
150129865	00:01
150129865	00:01
150900295	01:00
150901027	19:00
150901152	10:00
150130016	07:00
150130022	16:00
150130298	21:09
150903487	12:22
150905546	19:00
150130511	19:45
150130511	19:45
150130533	19:30
150130549	19:35
150906970	18:00
150130674	23:40
150130696	22:58
150130696	22:58
150130696	22:58
150910636	07:25
150911117	12:25
150130793	01:40
150130925	04:37
150130931	04:25
150130953	17:30
150130969	22:00
150131155	08:15
150131321	23:00
150131785	18:30
150131882	13:34
150131898	13:04
150131901	17:05
150132012	13:00
150132012	13:00
150132200	14:55
150132200	14:55
150132238	15:41
150132238	15:41
150132432	12:30
150132448	14:02
150132448	14:02
150132454	09:30
150920550	08:00
150921263	13:30
150922380	23:40
150927120	16:05
150132595	17:20
150132608	17:53
150132608	17:53
150132636	16:04
150132921	19:02
150132937	18:00
150132943	19:30
150132959	04:00
150930333	17:00
150133167	21:00
150133189	18:10
150133195	19:30
150133195	19:30
150133361	22:00
150935054	13:20
150938224	03:36
150939034	11:47
150939103	06:00
150133571	00:01
150133662	01:55
150133850	07:30
150133866	02:21
150134096	09:04
150134109	12:00
150134331	09:45
150134331	09:45
150134347	16:30
150134353	10:35
150134535	12:08
150134541	11:30
150944431	22:00
150134795	13:12
150134808	13:30
150135000	15:14
150135022	09:30
150135038	15:57
150135038	15:57
150135210	21:00
150135226	17:21
150135226	17:21
150135248	02:00
150946443	18:15
150948057	10:00
150135414	15:00
150135436	09:30
150135583	14:00
150135743	19:15
150135759	19:05
150135759	19:05
150135765	18:15
150135862	19:49
150135878	23:30
150950115	23:36
150950444	22:30
150136070	19:30
150136086	21:30
150136230	21:00
150136434	01:00
150136434	01:00
150136553	02:45
150136569	02:00
150136581	22:30
150136597	02:30
150958357	18:41
150136779	07:00
150136989	08:40
150136995	08:45
150137062	18:00
150137084	22:00
150961316	00:01
150961560	18:28
150137222	10:35
150137238	09:00
150137244	10:26
150137266	20:00
150964081	11:00
150137426	08:58
150137432	11:15
150137448	19:00
150137454	08:00
150137476	11:50
150137595	12:15
150137614	13:20
150137620	22:30
150137636	23:00
150967320	18:00
150967370	17:01
150137799	09:00
150138082	16:52
150138098	13:00
150138286	17:00
150138292	18:01
150970577	14:00
150971296	16:30
150971666	07:15
150898565	07:05
150973424	20:15
150096684	01:44
150096690	01:55
150976020	21:00
150901704	07:10
150976111	23:32
150976729	19:00
150096844	03:30
150096850	23:15
150096866	22:30
150096872	03:50
150977824	08:20
150097002	05:30
150097018	17:00
150097024	06:11
150097030	05:00
150097171	03:00
150097187	20:30
150097187	20:30
150097193	08:45
150097319	02:30
150097325	10:50
150097331	19:20
150097347	20:00
150985128	03:00
150097488	11:19
150097494	03:00
150097789	11:00
150097795	11:18
150097795	11:18
150097808	11:00
150097961	12:40
150098016	12:30
150098248	21:00
150098248	21:00
150992139	11:15
150098414	17:05
150098420	17:10
150098652	00:01
150922415	00:15
150994721	11:18
150925152	19:30
150997139	18:35
150098919	19:53
150098925	19:35
150998165	20:00
150099086	01:00
150099246	22:52
150099252	22:10
150099478	00:29
150099484	01:00
150099490	00:20
150099490	00:20
150099622	04:03
150099644	04:06
150099650	04:00
150099666	20:13
150099672	02:00
150099860	12:30
150099860	12:30
150099882	07:40
150099898	20:30
150100075	09:45
150100081	10:05
150100081	10:05
150100097	08:30
150100279	20:00
150100520	16:00
150100536	12:44
150100677	12:56
150100956	14:40
150101255	16:20
150101255	16:20
151016792	01:00
150101396	10:00
150101409	16:55
150101409	16:55
150101415	09:30
151022244	20:00
151025997	20:00
150101584	13:30
150101584	13:30
151027799	02:00
150101813	18:55
150101829	08:00
150962154	23:00
151029717	03:05
150102015	09:00
150102021	19:11
150102037	19:00
150102043	15:00
150102178	20:05
150102184	21:10
150967881	20:35
151034396	19:00
150102366	22:17
150102504	22:45
151041664	21:00
150102548	21:35
150977852	14:40
151043109	19:10
150102689	15:00
150102695	23:15
150102708	23:30
150102714	02:10
150102833	04:07
150980899	15:11
151045898	18:00
150981245	16:00
151046103	18:44
150103132	17:30
151046432	21:00
150103386	09:00
150103392	09:20
150103524	10:18
150103530	20:00
150984437	19:00
151048682	08:00
150103734	11:30
150103740	11:38
150103740	11:38
150103740	11:38
150988956	13:00
151052398	20:00
150103938	12:45
150103944	12:15
150103966	12:41
151052893	02:15
151058192	08:54
151058647	21:00
151060799	02:25
150104102	23:00
150104124	09:00
150104130	23:00
150104174	13:14
150104293	19:00
150104306	21:45
150104312	14:08
150104312	14:08
151000955	18:00
151062814	16:49
150104544	15:01
150104566	22:28
150104839	17:10
150105019	16:59
151067262	02:08
150105291	18:46
150105304	22:00
150105310	20:15
150105326	13:00
151068630	11:00
151011350	12:00
151072277	14:30
151011720	15:00
151072493	22:19
150105520	23:00
150105536	20:40
150105542	20:10
150105768	21:37
150105768	21:37
150105768	21:37
150105774	21:40
151018497	23:30
151079148	09:00
150105934	23:20
150106108	21:30
150106277	02:05
150106283	02:39
150106540	03:50
150106738	00:01
150106932	12:00
150106932	12:00
150106948	05:00
150106954	09:50
151032356	00:35
151093693	18:20
151032516	00:11
151093881	01:00
151094629	16:30
150107128	06:42
150107134	22:00
150107140	08:30
150107184	10:35
150107441	12:23
150107457	11:46
150107463	12:28
150107623	22:00
150107639	13:30
151100583	13:11
151101036	16:00
150107902	14:17
150107918	14:25
150108085	14:00
150108110	14:59
150108342	15:32
151106666	11:40
151043444	21:00
151106763	02:04
150108518	16:15
150108524	16:35
150108530	09:12
150108552	08:45
151046028	18:22
151109024	23:39
151046830	11:45
151109795	12:05
151049561	08:00
151112265	14:00
150108728	10:19
150108734	07:00
151052570	23:04
151114772	17:05
151115253	19:00
151117287	15:24
151117544	15:15
151123795	13:00
151063812	23:24
151126084	12:00
150109055	18:55
151081701	23:30
156023714	20:00
151088569	14:55
156033478	11:30
156038876	21:45
151124282	10:15
156080689	12:30
151124812	23:45
156081405	13:15
156089421	23:00
150109287	19:19
150109425	05:39
150109431	19:15
150109447	00:01
150109453	20:40
150109613	17:00
150109613	17:00
150109613	17:00
150109629	21:18
150109776	05:00
150109782	20:30
150109798	22:07
150109798	22:07
120909750	03:06
120909750	03:06
156201948	14:00
150109964	00:13
150109970	23:00
150109986	00:35
150110002	00:35
150110143	03:46
150110159	04:18
156211135	22:30
150110381	09:04
150110397	18:30
150110400	22:30
150110416	09:00
156146930	20:15
156225045	19:30
150110585	17:02
150110604	06:30
150110767	10:48
150110773	09:00
156269598	15:00
156270874	19:00
150111016	12:00
150111022	22:30
150111022	22:30
150111038	18:00
156208461	20:00
156285390	09:40
156216618	13:30
156295509	21:00
156295963	12:00
150111204	11:38
150111420	14:10
150111680	14:15
150111715	13:15
159001965	10:10
150111919	16:30
150111919	16:30
150111925	16:40
150111931	01:40
159004555	20:30
159005280	00:21
150112086	18:10
150112092	17:39
150112105	14:20
150112111	06:10
150112252	15:00
160005443	14:00
150112597	19:20
150112785	22:28
150112791	22:42
150112804	15:30
150112939	00:05
150112945	23:50
150112951	14:00
150112967	21:44
150113090	01:21
150113090	01:21
